hf0,af0,fd0,hf1,af1,fd1,hf2,af2,fd2,hf3,af3,fd3,hf4,af4,fd4,hf5,af5,fd5,hf6,af6,fd6,hf7,af7,fd7,hf8,af8,fd8,hf9,af9,fd9,he,ae,ed,ee,h0,h1,h2,h3,h4,l0,l1,l2,l3,l4,hs0,as0,hs1,as1,hs2,as2,hs3,as3,hs4,as4,hs5,as5,hs6,as6,hs7,as7,hs8,as8,ad,dd,axd,sd,label,date
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1500.0,1500.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.6931471805599453,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0,2023-04-15T19:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1500.0,1500.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.6931471805599453,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,2,2023-04-15T19:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1500.0,1500.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,3.0,1.0986122886681098,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,1,2023-04-15T21:30:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1500.0,1500.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.6666666666666665,1.3862943611198906,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0,2023-04-15T21:30:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1500.0,1500.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,2.5,1.6094379124341003,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0,2023-04-15T21:30:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1500.0,1500.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.2,2.6,1.791759469228055,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0,2023-04-15T21:30:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1500.0,1500.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.6666666666666665,1.9459101490553132,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,2,2023-04-16T00:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1500.0,1500.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,2.7142857142857144,2.0794415416798357,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0,2023-04-16T19:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1500.0,1500.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.625,0.125,0.25,2.75,2.1972245773362196,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0,2023-04-16T19:00:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1500.0,1500.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.1111111111111111,0.2222222222222222,2.7777777777777777,2.302585092994046,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0,2023-04-16T21:30:00+00:00
0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1510.0,1510.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.2,2.6,2.3978952727983707,3.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10.0,0,2023-04-22T19:00:00+00:00
3.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1490.0,1510.0,-20.0,0.4712494361077314,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.09090909090909091,0.18181818181818182,2.5454545454545454,2.4849066497880004,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,-1.0,-1.5,1,2023-04-22T21:30:00+00:00
3.0,3.0,0.0,2.0,3.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1490.0,1490.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.5,2.5649493574615367,1.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,0.5,0,2023-04-22T21:30:00+00:00
3.0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0,0,0,1490.0,1510.0,-20.0,0.4712494361077314,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.15384615384615385,0.15384615384615385,2.5384615384615383,2.6390573296152584,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,-9.5,0,2023-04-23T00:00:00+00:00
1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0,0,0,1500.0,1510.0,-10.0,0.48561281583400134,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,2.4285714285714284,2.70805020110221,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,-2.0,1.0,-2.0,-29.0,0,2023-04-23T14:00:00+00:00
3.0,3.0,0.0,1.0,2.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1490.0,1490.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.13333333333333333,0.13333333333333333,2.466666666666667,2.772588722239781,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,1.0,-0.5,1,2023-04-23T19:00:00+00:00
0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1510.0,1510.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6875,0.1875,0.125,2.3125,2.833213344056216,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,2023-04-23T19:00:00+00:00
